Word,Definition,Example,Part
a / an,not or without,anarchy,prefix
ambi,dual,ambidextrous,prefix
ante,before,antecedent,prefix
ben/bon,good,benefit / bon voyage,prefix
contra,against,contraceptive,prefix
de,down,descendent,prefix
eu,good,euology,prefix
ex,out of,exit,prefix
im/in,not or without,impossible,prefix
ne/mal,bad,negative / malicious,prefix
post,after,postmodern,prefix
ate,to make,duplicate,suffix
ette,little,cigarette,suffix
illo,little,armadillo,suffix
ify / efy,to make,beautify / liquefy,suffix
ist,a person,pacifist,suffix
ize,to make,alphabetize,suffix
ous,full of,joyous,suffix
ambu,walk,ambulance,root
andro,man,android,root
anthro,humankind,anthropology,root
belly / belli,"war, fight",belligerent,root
cred,trust,credible,root
greg,group,congregation,root
gyn,woman,gynecologist,root
meta,"beyond, after",metamorphosis,root
mut,change,mutates,root
pac,"peace, calm",pacifier,root
path,feeling,pathetic,root
phon,sound,phonics,root
plac,"peace, calm",placate,root
pro,big / much,profuse,root
pug,"war, fight",pugnacious,root
scien,knowledge,science,root
somn,sleem,insomnia,root
son,sound,sonic,root
